os,branch,model,type,minutes,seconds,threads
linux,new,schools-4,user,0,10.767,1
linux,new,schools-4,user,0,10.406,1
linux,new,schools-4,user,0,10.701,1
linux,new,schools-4,user,0,10.430,1
linux,new,warfarin,real,4,45.679,1
linux,new,warfarin,real,4,5.653,1
linux,new,warfarin,real,4,4.736,1
linux,new,warfarin,real,4,1.204,1
linux,new,warfarin,real,4,0.476,1
linux,new,warfarin,real,4,0.790,1
linux,new,warfarin,real,3,58.228,1
linux,new,warfarin,real,4,2.499,1
linux,new,warfarin,real,3,59.056,1
linux,new,warfarin,real,4,1.939,1
linux,new,warfarin,sys,0,0.060,1
linux,new,warfarin,sys,0,0.024,1
linux,new,warfarin,sys,0,0.028,1
linux,new,warfarin,sys,0,0.020,1
linux,new,warfarin,sys,0,0.016,1
linux,new,warfarin,sys,0,0.044,1
linux,new,warfarin,sys,0,0.028,1
linux,new,warfarin,sys,0,0.060,1
linux,new,warfarin,sys,0,0.016,1
linux,new,warfarin,sys,0,0.024,1
linux,new,warfarin,user,4,45.281,1
linux,new,warfarin,user,4,5.628,1
linux,new,warfarin,user,4,4.708,1
linux,new,warfarin,user,4,1.183,1
linux,new,warfarin,user,4,0.458,1
linux,new,warfarin,user,4,0.745,1
linux,new,warfarin,user,3,58.198,1
linux,new,warfarin,user,4,2.438,1
linux,new,warfarin,user,3,59.040,1
linux,new,warfarin,user,4,1.914,1
linux,old,schools-4,real,0,12.199,2
linux,old,schools-4,real,0,11.980,2
linux,old,schools-4,real,0,11.270,2
linux,old,schools-4,real,0,11.168,2
linux,old,schools-4,real,0,11.239,2
linux,old,schools-4,real,0,11.255,2
linux,old,schools-4,real,0,11.190,2
linux,old,schools-4,real,0,11.144,2
linux,old,schools-4,real,0,11.432,2
linux,old,schools-4,real,0,11.456,2
linux,old,schools-4,sys,0,0.008,2
linux,old,schools-4,sys,0,0.008,2
linux,old,schools-4,sys,0,0.004,2
linux,old,schools-4,sys,0,0.004,2
linux,old,schools-4,sys,0,0.016,2
linux,old,schools-4,sys,0,0.004,2
linux,old,schools-4,sys,0,0.004,2
linux,old,schools-4,sys,0,0.004,2
linux,old,schools-4,sys,0,0.008,2
linux,old,schools-4,sys,0,0.008,2
linux,old,schools-4,user,0,12.191,2
linux,old,schools-4,user,0,11.972,2
linux,old,schools-4,user,0,11.265,2
linux,old,schools-4,user,0,11.164,2
linux,old,schools-4,user,0,11.222,2
linux,old,schools-4,user,0,11.251,2
linux,old,schools-4,user,0,11.186,2
linux,old,schools-4,user,0,11.140,2
linux,old,schools-4,user,0,11.423,2
linux,old,schools-4,user,0,11.447,2
linux,old,warfarin,real,4,45.686,2
linux,old,warfarin,real,4,47.137,2
linux,old,warfarin,real,4,49.747,2
linux,old,warfarin,real,4,51.657,2
linux,old,warfarin,real,4,51.464,2
linux,old,warfarin,real,4,52.875,2
linux,old,warfarin,real,4,52.625,2
linux,old,warfarin,real,4,51.295,2
linux,old,warfarin,real,4,57.474,2
linux,old,warfarin,real,4,53.132,2
linux,old,warfarin,sys,0,4.137,2
linux,old,warfarin,sys,0,3.937,2
linux,old,warfarin,sys,0,3.668,2
linux,old,warfarin,sys,0,3.921,2
linux,old,warfarin,sys,0,3.884,2
linux,old,warfarin,sys,0,3.878,2
linux,old,warfarin,sys,0,3.765,2
linux,old,warfarin,sys,0,3.855,2
linux,old,warfarin,sys,0,3.781,2
linux,old,warfarin,sys,0,3.689,2
linux,old,warfarin,user,7,45.602,2
linux,old,warfarin,user,7,49.129,2
linux,old,warfarin,user,7,53.783,2
linux,old,warfarin,user,7,56.091,2
linux,old,warfarin,user,7,56.202,2
linux,old,warfarin,user,7,58.529,2
linux,old,warfarin,user,7,57.393,2
linux,old,warfarin,user,7,56.160,2
linux,old,warfarin,user,8,5.569,2
linux,old,warfarin,user,7,58.612,2
linux,new,schools-4,real,0,10.885,2
linux,new,schools-4,real,0,10.791,2
linux,new,schools-4,real,0,10.090,2
linux,new,schools-4,real,0,10.224,2
linux,new,schools-4,real,0,9.817,2
linux,new,schools-4,real,0,10.097,2
linux,new,schools-4,real,0,10.138,2
linux,new,schools-4,real,0,9.882,2
linux,new,schools-4,real,0,9.980,2
linux,new,schools-4,real,0,10.369,2
linux,new,schools-4,sys,0,0.008,2
linux,new,schools-4,sys,0,0.008,2
linux,new,schools-4,sys,0,0.000,2
linux,new,schools-4,sys,0,0.000,2
linux,new,schools-4,sys,0,0.004,2
linux,new,schools-4,sys,0,0.012,2
linux,new,schools-4,sys,0,0.004,2
linux,new,schools-4,sys,0,0.000,2
linux,new,schools-4,sys,0,0.004,2
linux,new,schools-4,sys,0,0.000,2
linux,new,schools-4,user,0,10.877,2
linux,new,schools-4,user,0,10.782,2
linux,new,schools-4,user,0,10.090,2
linux,new,schools-4,user,0,10.224,2
linux,new,schools-4,user,0,9.812,2
linux,new,schools-4,user,0,10.084,2
linux,new,schools-4,user,0,10.133,2
linux,new,schools-4,user,0,9.881,2
linux,new,schools-4,user,0,9.976,2
linux,new,schools-4,user,0,10.369,2
linux,new,warfarin,real,4,12.715,2
linux,new,warfarin,real,4,13.719,2
linux,new,warfarin,real,4,15.668,2
linux,new,warfarin,real,4,19.603,2
linux,new,warfarin,real,4,18.882,2
linux,new,warfarin,real,4,18.555,2
linux,new,warfarin,real,4,19.463,2
linux,new,warfarin,real,4,18.366,2
linux,new,warfarin,real,4,18.934,2
linux,new,warfarin,real,4,17.944,2
linux,new,warfarin,sys,0,3.606,2
linux,new,warfarin,sys,0,3.493,2
linux,new,warfarin,sys,0,3.471,2
linux,new,warfarin,sys,0,3.590,2
linux,new,warfarin,sys,0,3.650,2
linux,new,warfarin,sys,0,3.494,2
linux,new,warfarin,sys,0,3.573,2
linux,new,warfarin,sys,0,3.450,2
linux,new,warfarin,sys,0,3.878,2
linux,new,warfarin,sys,0,3.583,2
linux,new,warfarin,user,6,46.343,2
linux,new,warfarin,user,6,47.455,2
linux,new,warfarin,user,6,49.886,2
linux,new,warfarin,user,6,54.106,2
linux,new,warfarin,user,6,53.811,2
linux,new,warfarin,user,6,52.597,2
linux,new,warfarin,user,6,54.149,2
linux,new,warfarin,user,6,52.035,2
linux,new,warfarin,user,6,52.457,2
linux,new,warfarin,user,6,51.961,2
linux,old,schools-4,real,0,11.412,4
linux,old,schools-4,real,0,11.413,4
linux,old,schools-4,real,0,11.558,4
linux,old,schools-4,real,0,11.087,4
linux,old,schools-4,real,0,11.248,4
linux,old,schools-4,real,0,11.269,4
linux,old,schools-4,real,0,11.337,4
linux,old,schools-4,real,0,11.041,4
linux,old,schools-4,real,0,11.297,4
linux,old,schools-4,real,0,11.291,4
linux,old,schools-4,sys,0,0.004,4
linux,old,schools-4,sys,0,0.004,4
linux,old,schools-4,sys,0,0.008,4
linux,old,schools-4,sys,0,0.008,4
linux,old,schools-4,sys,0,0.000,4
linux,old,schools-4,sys,0,0.020,4
linux,old,schools-4,sys,0,0.004,4
linux,old,schools-4,sys,0,0.004,4
linux,old,schools-4,sys,0,0.004,4
linux,old,schools-4,sys,0,0.000,4
linux,old,schools-4,user,0,11.408,4
linux,old,schools-4,user,0,11.409,4
linux,old,schools-4,user,0,11.550,4
linux,old,schools-4,user,0,11.079,4
linux,old,schools-4,user,0,11.248,4
linux,old,schools-4,user,0,11.249,4
linux,old,schools-4,user,0,11.333,4
linux,old,schools-4,user,0,11.037,4
linux,old,schools-4,user,0,11.293,4
linux,old,schools-4,user,0,11.291,4
linux,old,warfarin,real,3,24.372,4
linux,old,warfarin,real,3,24.280,4
linux,old,warfarin,real,3,23.921,4
linux,old,warfarin,real,3,24.816,4
linux,old,warfarin,real,3,24.371,4
linux,old,warfarin,real,3,24.694,4
linux,old,warfarin,real,3,24.510,4
linux,old,warfarin,real,3,24.347,4
linux,old,warfarin,real,3,24.146,4
linux,old,warfarin,real,3,23.962,4
linux,old,warfarin,sys,0,13.206,4
linux,old,warfarin,sys,0,12.838,4
linux,old,warfarin,sys,0,12.864,4
linux,old,warfarin,sys,0,13.059,4
linux,old,warfarin,sys,0,12.845,4
linux,old,warfarin,sys,0,13.282,4
linux,old,warfarin,sys,0,13.463,4
linux,old,warfarin,sys,0,13.493,4
linux,old,warfarin,sys,0,12.506,4
linux,old,warfarin,sys,0,12.913,4
linux,old,warfarin,user,10,56.356,4
linux,old,warfarin,user,10,56.854,4
linux,old,warfarin,user,10,56.051,4
linux,old,warfarin,user,10,57.062,4
linux,old,warfarin,user,10,56.951,4
linux,old,warfarin,user,10,57.593,4
linux,old,warfarin,user,10,57.607,4
linux,old,warfarin,user,10,57.107,4
linux,old,warfarin,user,10,57.557,4
linux,old,warfarin,user,10,56.418,4
linux,new,schools-4,real,0,9.797,4
linux,new,schools-4,real,0,9.923,4
linux,new,schools-4,real,0,10.170,4
linux,new,schools-4,real,0,9.958,4
linux,new,schools-4,real,0,10.266,4
linux,new,schools-4,real,0,9.959,4
linux,new,schools-4,real,0,9.927,4
linux,new,schools-4,real,0,10.346,4
linux,new,schools-4,real,0,9.865,4
linux,new,schools-4,real,0,10.056,4
linux,new,schools-4,sys,0,0.012,4
linux,new,schools-4,sys,0,0.004,4
linux,new,schools-4,sys,0,0.000,4
linux,new,schools-4,sys,0,0.004,4
linux,new,schools-4,sys,0,0.008,4
linux,new,schools-4,sys,0,0.004,4
linux,new,schools-4,sys,0,0.000,4
linux,new,schools-4,sys,0,0.004,4
linux,new,schools-4,sys,0,0.004,4
linux,new,schools-4,sys,0,0.004,4
linux,new,schools-4,user,0,9.784,4
linux,new,schools-4,user,0,9.919,4
linux,new,schools-4,user,0,10.170,4
linux,new,schools-4,user,0,9.954,4
linux,new,schools-4,user,0,10.258,4
linux,new,schools-4,user,0,9.954,4
linux,new,schools-4,user,0,9.927,4
linux,new,schools-4,user,0,10.342,4
linux,new,schools-4,user,0,9.860,4
linux,new,schools-4,user,0,10.052,4
linux,new,warfarin,real,2,54.985,4
linux,new,warfarin,real,2,55.324,4
linux,new,warfarin,real,2,54.947,4
linux,new,warfarin,real,2,55.341,4
linux,new,warfarin,real,2,55.448,4
linux,new,warfarin,real,2,55.389,4
linux,new,warfarin,real,2,55.356,4
linux,new,warfarin,real,2,55.176,4
linux,new,warfarin,real,2,55.248,4
linux,new,warfarin,real,2,55.744,4
linux,new,warfarin,sys,0,10.458,4
linux,new,warfarin,sys,0,9.976,4
linux,new,warfarin,sys,0,10.205,4
linux,new,warfarin,sys,0,10.329,4
linux,new,warfarin,sys,0,10.327,4
linux,new,warfarin,sys,0,10.094,4
linux,new,warfarin,sys,0,10.411,4
linux,new,warfarin,sys,0,10.502,4
linux,new,warfarin,sys,0,10.340,4
linux,new,warfarin,sys,0,10.399,4
linux,new,warfarin,user,9,18.503,4
linux,new,warfarin,user,9,20.393,4
linux,new,warfarin,user,9,18.465,4
linux,new,warfarin,user,9,19.666,4
linux,new,warfarin,user,9,20.243,4
linux,new,warfarin,user,9,20.062,4
linux,new,warfarin,user,9,20.520,4
linux,new,warfarin,user,9,18.667,4
linux,new,warfarin,user,9,19.092,4
linux,new,warfarin,user,9,21.153,4
